seed,n,Método,Custo,Tempo (s),Gap (%)
42,2,Ótimo (Gurobi),82.96234247584141,0.0,0.0
42,2,Nearest Neighbor,82.96234247584141,0.0,0.0
42,2,Cheapest Insertion,82.96234247584141,0.0,0.0
42,2,Farthest Insertion,82.96234247584141,0.0,0.0
42,3,Ótimo (Gurobi),172.06644813862846,0.0,0.0
42,3,Nearest Neighbor,172.06644813862846,0.0,0.0
42,3,Cheapest Insertion,172.06644813862846,0.0,0.0
42,3,Farthest Insertion,172.06644813862846,0.0,0.0
42,4,Ótimo (Gurobi),193.19881006757157,0.0,0.0
42,4,Nearest Neighbor,193.19881006757157,0.0,0.0
42,4,Cheapest Insertion,193.19881006757157,0.0,0.0
42,4,Farthest Insertion,193.19881006757157,0.0,0.0
42,5,Ótimo (Gurobi),197.76047663253786,0.0,0.0
42,5,Nearest Neighbor,236.12886729982554,0.0,19.401445284024398
42,5,Cheapest Insertion,197.76047663253783,0.0,-1.437178445074992e-14
42,5,Farthest Insertion,197.76047663253786,0.0,0.0
42,6,Ótimo (Gurobi),216.37962719062116,0.00632929801940918,0.0
42,6,Nearest Neighbor,216.37962719062116,0.0,0.0
42,6,Cheapest Insertion,216.37962719062116,0.0,0.0
42,6,Farthest Insertion,216.37962719062114,0.0,-1.3135113411285112e-14
42,7,Ótimo (Gurobi),248.7497883126661,0.0,0.0
42,7,Nearest Neighbor,248.74978831266614,0.0,1.1425822559768104e-14
42,7,Cheapest Insertion,281.4204740953398,0.0,13.133955210288761
42,7,Farthest Insertion,248.7497883126661,0.0,0.0
42,8,Ótimo (Gurobi),253.27750067749184,0.011859893798828125,0.0
42,8,Nearest Neighbor,253.27750067749187,0.0,1.1221568972521756e-14
42,8,Cheapest Insertion,255.33350168999453,0.0,0.8117582521159972
42,8,Farthest Insertion,253.27750067749184,0.0,0.0
42,9,Ótimo (Gurobi),261.5205277347433,0.010617256164550781,0.0
42,9,Nearest Neighbor,261.5370382125417,0.0,0.006313262649542085
42,9,Cheapest Insertion,297.69969910986964,0.0,13.834161198933627
42,9,Farthest Insertion,261.5205277347433,0.0,0.0
42,10,Ótimo (Gurobi),264.13887564142317,0.013969898223876953,0.0
42,10,Nearest Neighbor,294.6618145190964,0.0,11.555640495384369
42,10,Cheapest Insertion,300.31804701654954,0.0,13.697026341643376
42,10,Farthest Insertion,264.13887564142317,0.0,0.0
42,11,Ótimo (Gurobi),272.14426586814346,0.022072315216064453,0.0
42,11,Nearest Neighbor,305.37193420071617,0.0,12.209578705094536
42,11,Cheapest Insertion,277.4911378258819,0.0,1.964719683026144
42,11,Farthest Insertion,272.14426586814346,0.0,0.0
42,12,Ótimo (Gurobi),272.2487656663167,0.018457651138305664,0.0
42,12,Nearest Neighbor,305.4764339988893,0.0,12.204892187940473
42,12,Cheapest Insertion,277.5956376240551,0.0,1.9639655462356955
42,12,Farthest Insertion,272.24876566631673,0.0,2.087922004777002e-14
42,13,Ótimo (Gurobi),275.5165841731906,0.0196530818939209,0.0
42,13,Nearest Neighbor,342.39997481953486,0.0,24.275631482241785
42,13,Cheapest Insertion,275.51658417319055,0.0,-2.0631577961592344e-14
42,13,Farthest Insertion,275.5165841731906,0.0,0.0
42,14,Ótimo (Gurobi),284.90607160869666,0.014261007308959961,0.0
42,14,Nearest Neighbor,345.1610187378677,0.0,21.14905687651614
42,14,Cheapest Insertion,284.90607160869666,0.0,0.0
42,14,Farthest Insertion,284.9060716086967,0.0,1.995163477557594e-14
42,15,Ótimo (Gurobi),284.9086349261763,0.018248558044433594,0.0
42,15,Nearest Neighbor,330.86123848548476,0.0,16.12889113424568
42,15,Cheapest Insertion,284.90863492617626,0.0,-1.9951455271103633e-14
42,15,Farthest Insertion,284.9086349261763,0.0,0.0
42,16,Ótimo (Gurobi),289.6464243652847,0.02409648895263672,0.0
42,16,Nearest Neighbor,335.5990279245932,0.0,15.865068474436208
42,16,Cheapest Insertion,289.64642436528476,0.0,1.962510636386124e-14
42,16,Farthest Insertion,301.06167258778873,0.0,3.9410975804444273
42,17,Ótimo (Gurobi),340.47952371737654,0.02475738525390625,0.0
42,17,Nearest Neighbor,459.9611271518571,0.0,35.09215536076091
42,17,Cheapest Insertion,340.4795237173766,0.0,1.6695106431126326e-14
42,17,Farthest Insertion,341.3174491495765,0.0,0.24610156377435463
42,18,Ótimo (Gurobi),351.9793420587,0.0942380428314209,0.0
42,18,Nearest Neighbor,460.17461861532144,0.0,30.739098472028388
42,18,Cheapest Insertion,351.9793420587,0.0,0.0
42,18,Farthest Insertion,352.8172674908999,0.0,0.23806096894747297
42,19,Ótimo (Gurobi),352.2999304143762,0.06302857398986816,0.0
42,19,Nearest Neighbor,460.49520697099763,0.0,30.711126292123257
42,19,Cheapest Insertion,352.29993041437626,0.0,1.6134950351522527e-14
42,19,Farthest Insertion,353.9386714542857,0.0,0.465155084754637
42,20,Ótimo (Gurobi),352.31817646185084,0.04072308540344238,0.0
42,20,Nearest Neighbor,460.5134530184722,0.0,30.709535807425702
42,20,Cheapest Insertion,358.1918182680318,0.0,1.6671412940333938
42,20,Farthest Insertion,353.9569175017603,0.0,0.4651309950472866
42,21,Ótimo (Gurobi),353.25527120549503,0.15471839904785156,0.0
42,21,Nearest Neighbor,461.45054776211646,0.0,30.628071362502688
42,21,Cheapest Insertion,359.12891301167605,0.0,1.6627187999593098
42,21,Farthest Insertion,354.89401224540455,0.0,0.46389712298340574
